PDE4C	TCF7
FBXW12	TCF7
ATP2B4	ETV6
CD3E	TRA@
TAGLN	TPM1
ABI2	FGFR1OP
NME6	VDAC3
206512_at	PML
NARG2	THUMPD1
PRF1	PTPN6
KIAA0226	ZMYM5
FNBP4	MFN1
GML	PSG6
KIR2DS3	MGEA5
ATRX	RNPC2
HLA-B	TRBV3-1
ACTR10	VAPA
ARL8B	REEP5
EPS15	REEP5
IFI16	PRKD3
FAM96B	RDBP
CSPG6	ROCK1
PSIP1	ZNF403
ELF1	HMGN4
ERBB2IP	HIATL1
ATP6V1D	CD84
RPL4	RSL1D1
211908_x_at	IGKC
RPL13A	RPS2
HSP90AA1	KTN1
LRPPRC	RPL17
THRAP2	TOP2B
BCLAF1	RSL1D1
C6orf111	MON2
C6orf111	PRPF40A
THRAP2	ZNF403
SFRS5	YTHDC1
KIAA0256	NEK7
PDCD4	SP3
LARP4	PDGFD
FAM35A	ZRF1
RPL24	RPL7A
AKR7A2	FAM96B
PCNP	SON
GRM7	SCD5
HLA-C	ISG20
COL11A2	SOX15
CUEDC2	NDUFA10
221235_s_at	AGMAT
MBD3	MRPL34
BAD	MRPL34
CENTB2	EIF4G2
SEPT2	TTC3
PDCD4	RPL6
BCLAF1	RPL17
NOL11	RPL17
HNRPA1	RPS24
LEREPO4	NPM1
MAP3K7	NPM1
NPM1	PDCD4
KIAA1109	NPM1
IK	TRIP12
HMGN1	HNRPM
RUVBL2	USP22
FLJ11021	U16
IFI16	RPL37
HSP90B1	ZNF83
PRKAR1A	SH3BGRL
ALCAM	MATR3
UBB	WDR39
ACTR2	PHF11
EEF1G	RPS15
CCT8	EIF3S3
MGEA5	ZNF403
EEF1A1	RPLP2
DDX1	KTN1
B2M	BTG1
HNRPA1	RPS4X
DEK	PPP2R5C
DEK	FNTA
IPO7	PHIP
EIF5B	FLJ12825
BCLAF1	TLK1
NFE2L2	SLK
CCNL1	RPL4
KIAA0804	RPS6
NTRK3	PSMB2
IFI30	LST1
RAVER2	RPS6
ACSL3	SLC39A6
HLA-C	LAPTM5
DCN	EEF1A1
EGFR	SLC1A7
BIRC2	C6orf111
ETFB	NDUFAB1
PCM1	SFRS5
C20orf44	SLC6A8
GOLGA8A	PFAAP5
FLJ11021	NAP1L1
MATN2	PLSCR4
INS	NOL7
C21orf33	ETFB
BAZ2B	ZNF638
COX5A	NDUFS8
IDE	NEK1
C3orf60	NDUFC1
CROP	IL6ST
IGFBP6	PRELP
CD48	TRA@
ALOX5AP	DOCK2
HLA-C	PSMB9
CLPTM1	WIPI2
HLA-B	LCK
C12orf4	C5
DKK3	PCDHGC3
CD2	PSMB8
CSPG6	PSIP1
HCP5	HLA-C
NOS1	TCF3
KCNK4	SLC22A14
CACNA1G	TBXA2R
ARHGAP12	LOC51315
CHRNB3	GML
DDX3X	RNPC2
CHRNA4	PSG6
HLA-DRA	HLA-DRB4
NACA	PDCD4
HNRPA1	NACA
RNPC2	SUB1
RPL12	RPLP0
FNBP4	IFI16
HNRPH3	RPL15
SON	STAG2
APLP1	SCG3
EVI2B	SP110
POLR2E	SIAHBP1
CYP3A43	XDH
NTRK3	RUNX1
GOLGA8B	PNN
HMGA1	PRSS7
ILVBL	RetSat
HAP1	TUBB4Q
HNRPA3	KIDINS220
NOL11	SR140
NOL11	ZNF292
EFHA1	KIAA0776
NAP1L1	TRIM33
RPL17	SUB1
EEF1A1	RPS20
FUBP1	PFAAP5
RPL24	RPL26
DKK3	NGRN
C14orf143	ETNK2
SH3BP1	SOX15
216858_x_at	CEP27
ASH1L	NTRK3
CROP	WAC
C13orf10	FAM35A
OR51E2	UBE2D4
RPL28	TAGLN2
C1orf63	EIF4G2
LOC58486	RPL24
RPL6	RPL9
DDX5	SFPQ
RPL10A	RPL23A
GOLGA8B	NPM1
COX5B	GUK1
ATP6V0B	POLR2J
RPS15A	RPS25
RPL37	RPS18
MATR3	NAP1L1
MATR3	REEP5
NAP1L2	TOMM20
EIF4A2	HSPA9B
IFI16	NACA
ARL6IP5	PRKACB
KIAA0103	SPARCL1
ANKRD12	NCOR1
CNOT1	GPBP1L1
EPAS1	TSPAN4
ETFB	MLF2
SF3B1	TAX1BP1
SH2BP1	TAX1BP1
MTMR6	TAX1BP1
COX7C	MDH1
SF3B1	SRP72
CDK2AP2	SYNGR2
SSB	YTHDC1
MBNL1	ZNF292
DDX3X	XPO1
COPE	SCAND1
LOC552891	SRP9
COPB	VPS13C
CAPZA1	RAVER2
DNMT1	RBM14
ACBD3	PTK9
PTK9	SCFD1
ALCAM	RASA1
C7orf28A	GAPDHS
ARMCX2	MORF4L2
ASNA1	GPI
PAPOLA	SH2BP1
PFAAP5	SUB1
DDX46	PDCD4
DDX46	FLJ22028
DDX46	ZNF277
COPS2	RPL15
GMFB	RASA1
ADAM10	USP34
ITGB2	RAC2
C19orf22	SLC16A3
C15orf15	NBN
DST	THBS2
LOC220594	SRPK2
DCTN6	SRI
IL16	PLEK
NDUFB6	PEX14
CUL5	EXOC1
203640_at	212498_at
EMP3	HLA-G
C6orf12	ICAM3
KNS2	TCF7
217471_at	DCT
DBT	PRR11
BMP5	FLT3
214376_at	SCRG1
GTF2B	IFI16
OPA1	PSCD3
KDELR3	TAF6L
C21orf77	NOS1
207730_x_at	216858_x_at
CFHR4	PRO2268
208238_x_at	217679_x_at
DDX50	HNRPH3
CDC5L	PTPRJ
CSPG6	SR140
METAP2	TCEA1
CLK4	CRSP3
HIATL1	SFPQ
CNOT2	IFNGR1
HLA-B	HLA-DQB1
HLA-DPA1	RAC2
NAP1L1	PNN
FLJ10154	SCC-112
C6orf111	SFRS5
BCLAF1	SFRS5
RPL12	RPS2
C17orf40	RPL17
MTMR6	ZNF451
PNRC2	WWP1
GAPDHS	TXNL2
AKR7A2	NDUFA10
EIF3S3	STX16
EEF1D	RPS9
PRDX2	RIOK3
215126_at	MAPK8IP3
KIAA1109	MUC3A
220375_s_at	COMMD1
PHTF2	PRO2268
CROP	SDCCAG1
BNC2	NIPSNAP3B
221159_at	C21orf77
IL21	SYT13
CCL5	IGHM
PNN	RPL21
RPL10A	RPL24
SEC63	SEPT2
RPS23	RPS27A
RPL34	TPT1
MFN1	RPL17
RPS6	RSL1D1
NAP1L1	RPS7
FNTA	HSP90AA1
HNRPDL	MATR3
EIF3S3	MATR3
MATR3	WAC
BIRC2	SFRS11
ADRM1	ECH1
CCT7	PTOV1
IL6ST	PAFAH1B1
RPL22	RPL5
Kua-UEV	LOC388817
ANP32A	CHMP4A
